p.length	time	av_time	av_count	standard_deviation	s_d_as_%_of_av_count	
1	337006800	3.37007e+08	5e+06	164.5	0.00329
2	777078000	7.77078e+08	2.5e+06	285.146	0.0114058
3	1263332200	1.26333e+09	1.25e+06	199.849	0.0159879
4	2266609700	1.1333e+09	625000	1651.81	0.264289
5	4326171900	1.08154e+09	312500	1208.7	0.386783
6	8589064900	1.07363e+09	156250	2346.72	1.5019
7	16946228100	1.05914e+09	78124.9	1815.18	2.32343
8	30242259800	9.45071e+08	39062.5	1346.75	3.44769
9	56970143200	8.90158e+08	19531.2	928.087	4.75181
10	112176854100	8.76382e+08	9765.62	632.174	6.47347
11	220544589500	8.61502e+08	4882.81	429.362	8.79335
