p.length	time	av_time	av_count	standard_deviation	s_d_as_%_of_av_count	
1	2567711600	2.56771e+09	4e+07	1008.5	0.00252125
2	5829792200	5.82979e+09	2e+07	4488.02	0.0224401
3	9757032300	9.75703e+09	1e+07	3239.58	0.0323958
4	17397241200	8.69862e+09	5e+06	2278.36	0.0455672
5	32901171400	8.22529e+09	2.5e+06	1604.1	0.0641638
6	64220486800	8.02756e+09	1.25e+06	1096.08	0.0876866
7	127432026000	7.9645e+09	625000	774.633	0.123941
8	230201326500	7.19379e+09	312500	541.587	0.173308
9	435886486100	6.81073e+09	156250	384.482	0.246068
10	846966133200	6.61692e+09	78125	271.686	0.347758
11	1663967250000	6.49987e+09	39062.5	195.121	0.49951
