p.length	time	av_time	av_count	standard_deviation	s_d_as_%_of_av_count	
1	25437153900	2.54372e+10	4e+08	11293.5	0.00282338
2	31973195500	3.19732e+10	2e+08	8429.16	0.00421458
3	35368027300	3.5368e+10	1e+08	7126.58	0.00712658
4	73406433700	3.67032e+10	5e+07	6616.92	0.0132338
5	150941844200	3.77355e+10	2.5e+07	5200.71	0.0208028
6	304172875100	3.80216e+10	1.25e+07	4098.87	0.032791
7	294466674200	3.68083e+10	6.25012e+06	2686.39	0.0429815
8	237805802300	2.97257e+10	3.12501e+06	1961.07	0.0627542
9	236756815000	2.95946e+10	1.56251e+06	1521.58	0.09738
10	236958790500	2.96198e+10	781110	971.99	0.124437
11	237845283500	2.97307e+10	390738	739.017	0.189134
12	236493540900	2.95617e+10	195283	459.599	0.23535
13	236455596100	2.95569e+10	97684.2	324.881	0.332584
14	236717317400	2.95897e+10	48837.3	223.307	0.457248
15	236322564700	2.95403e+10	24425.1	160.512	0.657161
16	674662813200	8.43329e+10	12232.6	114.743	0.938007
17	681387171900	8.51734e+10	6113.22	81.2312	1.32878
18	681769518600	8.52212e+10	3055.73	57.5883	1.8846
19	681938279800	8.52423e+10	1523.27	37.8196	2.4828
20	684788924200	8.55986e+10	763.188	20.3108	2.66131
21	680390376300	8.50488e+10	386.812	19.5551	5.05545
22	681938962500	8.52424e+10	192.188	11.2748	5.86656
23	680807438600	8.51009e+10	96.25	10.6742	11.09
24	706982067000	8.83728e+10	47.2031	6.07037	12.8601
25	737740921100	9.22176e+10	24.7188	4.58076	18.5315
26	715619497700	8.94524e+10	12.5469	3.5308	28.1409
27	707317925900	8.84147e+10	5.64062	2.08692	36.998
28	715986078100	8.94983e+10	2.90625	1.68373	57.9349
29	703136875900	8.78921e+10	1.34375	1.04909	78.0717
30	722996642400	9.03746e+10	1	0.918559	91.8559
31	725123303900	9.06404e+10	0.453125	0.610576	134.748
32	763146684500	9.53933e+10	0.09375	0.340897	363.624
33	759796421600	9.49746e+10	0.09375	0.291481	310.913
34	759514038700	9.49393e+10	0.046875	0.211371	450.925
35	777423263400	9.71779e+10	0.015625	0.12402	793.725
36	781592407800	9.76991e+10	0.03125	0.173993	556.776
37	778113050900	9.72641e+10	0.03125	0.248039	793.725
38	769996027700	9.62495e+10	0.015625	0.12402	793.725
39	798628382300	9.98285e+10	0	0	nan
40	708099166600	8.85124e+10	0	0	nan
41	714790949300	8.93489e+10	0	0	nan
42	709457108500	8.86821e+10	0	0	nan
43	707339508500	8.84174e+10	0	0	nan
44	704371600300	8.80465e+10	0	0	nan
45	704130746700	8.80163e+10	0	0	nan
46	709357963800	8.86697e+10	0	0	nan
47	705220671400	8.81526e+10	0	0	nan
48	712399037100	8.90499e+10	0	0	nan
